doctor_id,name,specialization,hospital_name
D541,Dr. Hemant Pillai,Urology,City Care Hospital
D542,Dr. Umesh Dey,ENT,Ruby Hall Clinic
D543,Dr. Usha Dey,Radiology,Columbia Asia
D544,Dr. Madhuri Chopra,Neurology,SGPGI Lucknow
D545,Dr. Rupa Khanna,Pathology,Skin Glow Clinic
D546,Dr. Pankaj Malhotra,Pediatrics,BLK Hospital
D547,Dr. Arjun Kadam,Dermatology,AIIMS Delhi
D548,Dr. Rohit Tripathi,Oncology,Medanta Hospital
D549,Dr. Pramod Babu,Ophthalmology,Aakash Healthcare
D550,Dr. Ramesh Chaudhary,Orthopedics,BLK Hospital
D551,Dr. Sudha Patel,Endocrinology,Amrita Hospital
D552,Dr. Sheela Negi,Neurology,Wockhardt Hospital
D553,Dr. Alok Chatterjee,Pulmonology,Skin Glow Clinic
D554,Dr. Amita Soni,Ophthalmology,Sahyadri Hospital
D555,Dr. Sarita Ghosh,Dermatology,Aakash Healthcare
D556,Dr. Pooja Solanki,Cardiology,Amrita Hospital
D557,Dr. Priya Rajan,Dermatology,Lilavati Hospital
D558,Dr. Varsha Desai,Rheumatology,AIIMS Delhi
D559,Dr. Ashok Garg,Gynecology,Global Hospital
D560,Dr. Manish Roy,General Medicine,Manipal Hospital
D561,Dr. Renuka Gupta,Psychiatry,Columbia Asia
D562,Dr. Lalita Singh,Psychiatry,Fortis Hospital
D563,Dr. Saroj Arora,Pathology,Breach Candy Hospital
D564,Dr. Rakesh Babu,Ophthalmology,Venkateshwar Hospital
D565,Dr. Kavita Babu,Urology,Manipal Hospital
D566,Dr. Manoj Pathak,Radiology,SGPGI Lucknow
D567,Dr. Pramod Malhotra,Rheumatology,AIIMS Delhi
D568,Dr. Geeta Shukla,ENT,Care Hospital
D569,Dr. Madhuri Arora,Gynecology,Osmed Hospital
D570,Dr. Kalpana Pillai,Endocrinology,Ruby Hall Clinic
D571,Dr. Kapil Singh,Cardiology,Sharda Hospital
D572,Dr. Ramesh Sharma,Nephrology,Amrita Hospital
D573,Dr. Vikram Bisht,Orthopedics,KEM Hospital
D574,Dr. Sunita Chakraborty,Urology,Hinduja Hospital
D575,Dr. Gaurav Kumar,Psychiatry,Fortis Hospital
D576,Dr. Madhavi Rao,ENT,NIMHANS Bengaluru
D577,Dr. Sanjay Joshi,Pathology,Yashoda Hospital
D578,Dr. Divya Warrier,Ophthalmology,KEM Hospital
D579,Dr. Vivek Solanki,Nephrology,BLK Hospital
D580,Dr. Umesh Deshpande,Pediatrics,Fortis Hospital
D581,Dr. Usha Jadhav,Gynecology,Sahyadri Hospital
D582,Dr. Meena Patil,Gynecology,Nair Hospital
D583,Dr. Lalita Mane,Gastroenterology,BLK Hospital
D584,Dr. Sandeep Kumar,Gynecology,Aster Hospital
D585,Dr. Anjali Chakraborty,ENT,City Care Hospital
D586,Dr. Tarun Rajput,Cardiology,KEM Hospital
D587,Dr. Dhruv Patel,Ophthalmology,Amrita Hospital
D588,Dr. Mohit Trivedi,Oncology,Hinduja Hospital
D589,Dr. Sachin Warrier,Anesthesiology,Dharamshila Hospital
D590,Dr. Swati Upadhyay,Gynecology,Fortis Hospital
D591,Dr. Poonam Goyal,Oncology,JIPMER Puducherry
D592,Dr. Pradeep Reddy,Pathology,CMC Vellore
D593,Dr. Anita Awasthi,Endocrinology,NIMHANS Bengaluru
D594,Dr. Hemant Menon,Psychiatry,Sunshine Hospital
D595,Dr. Sheela Garg,Pediatrics,NIMHANS Bengaluru
D596,Dr. Dinesh Subramaniam,Cardiology,Amrita Hospital
D597,Dr. Saroj Patil,Cardiology,CMC Vellore
D598,Dr. Poonam Malhotra,Cardiology,Manipal Hospital
D599,Dr. Vinod Banerjee,Ophthalmology,Yashoda Hospital
D600,Dr. Renuka Chatterjee,Anesthesiology,NIMHANS Bengaluru
